SMT Solver,Method,Template,Strengthen,Num Disjunctions,NetBSD_loop_true-unreach-call_true-termination,array,array-new,array_simp,array_vars,cegar1,cegar1-new,cegar1_vars,cegar1_vars-new,cegar2,cegar2-new,cegar2_vars,cegar2_vars-new,cggmp,const_false-unreach-call1,const_true-unreach-call1,count_by_1_true-unreach-call_true-termination,count_by_1_variant_true-unreach-call_true-termination,count_by_2_true-unreach-call_true-termination,count_by_nondet_true-unreach-call_true-termination,count_up_down_false-unreach-call_true-termination,css2003_true-unreach-call_true-termination,dec,dec-new,dec_simpl,dec_vars,ex11,ex11-new,ex11_simpl,ex11_simpl-new,ex11_vars-new,ex14,ex14-new,ex23,ex7,ex7_vars,ex_23_vars,fib_04,fib_09s,fib_10,fib_13,fib_15,fib_20,fib_23_x,fib_28,fib_30_x,fib_35,fib_37,fib_44,fig3,fig3_vars,fig9,fig9_vars,for_bounded_loop1_false-unreach-call_true-termination,for_infinite_loop_1_true-unreach-call_false-termination,formula22,formula25,formula27,gj2007_true-unreach-call_true-termination,gj2007b_true-unreach-call_true-termination,gr2006_true-unreach-call_true-termination,gsv2008_true-unreach-call_true-termination,inc,inc_simp,inc_vars,minor1,minor3,multivar_false-unreach-call1_true-termination,multivar_true-unreach-call1_true-termination,non-lin-ineq-1.desugared,non-lin-ineq-2.desugared,s_split_05,s_split_28,s_split_34,s_split_36,s_split_45,s_split_54,sendmail-close-angle_true-unreach-call_true-termination,seq_true-unreach-call_true-termination,simple_false-unreach-call2_true-termination,sum03_true-unreach-call_false-termination,sum1,sum1_vars,sum3,sum3_vars,sum4,sum4_simp,sum4_vars,terminator_02_true-unreach-call_true-termination,terminator_03_true-unreach-call_true-termination,underapprox_true-unreach-call2_true-termination,vardep,vsend,w1,while_infinite_loop_3_true-unreach-call_false-termination,while_infinite_loop_4_false-unreach-call_true-termination
cvc5,efsmt,power_bv_poly,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
bitwuzla,efsmt,bv_poly,True,1,T,T,T,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,T,T,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,T,T,U,U,T,U,T,T,U,T,U,U,U,U,U,T,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,T,U,U,U,T,U
yices,efsmt,bv_interval,False,1,Err,U,X,X,X,U,U,U,U,X,U,U,U,U,X,X,T,T,X,X,U,U,T,T,U,U,T,T,U,T,T,T,T,U,U,X,U,U,X,U,U,X,U,X,U,X,U,U,U,U,U,T,T,T,T,U,U,U,X,U,X,U,T,U,U,X,X,U,U,X,U,U,X,U,X,T,T,X,X,U,X,U,U,U,U,X,U,U,T,T,T,X,Err,U,T,U
cvc4,efsmt,bv_zone,False,1,Err,U,U,U,X,T,T,X,X,X,X,X,X,U,U,U,X,X,X,X,U,U,T,T,U,X,T,X,U,U,X,U,U,U,X,X,X,U,X,X,U,U,X,X,X,X,U,X,X,U,X,U,X,X,U,U,U,U,U,U,X,U,X,U,X,X,X,T,T,U,X,U,X,U,U,U,X,X,X,U,U,X,X,T,X,U,U,X,T,T,U,U,Err,U,T,U
g4,efsmt,power_bv_interval,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
msat,efsmt,power_bv_zone,False,1,Err,U,U,X,X,T,T,X,X,U,U,X,U,U,U,U,U,T,U,U,U,U,U,U,U,X,U,U,U,U,X,U,U,U,U,U,X,U,X,U,U,U,X,U,X,U,U,X,X,U,X,U,X,X,X,U,U,U,U,U,U,U,U,U,X,U,U,T,T,U,U,X,X,U,U,X,X,X,X,U,U,U,X,T,X,U,U,X,T,T,U,U,Err,U,U,U
gc4,efsmt,bv_zone,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,U,T,X,T,T,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,T,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,U,X,T,Err
yices2,efsmt,power_bv_poly,True,1,T,T,T,T,T,U,U,U,U,U,U,U,U,U,T,T,T,T,T,U,U,U,T,T,T,T,T,T,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,T,U,T,U,T,T,U,U,U,T,T,T,U,U,U,U,T,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,T,T,U
lgl,efsmt,power_bv_octagon,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,Err,X,Err,X,Err,Err,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,Err,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err
,pdr,,False,1,T,T,T,T,T,X,X,X,X,T,T,T,T,X,T,T,T,T,X,X,F,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,T,F,X,T,T,X,X,X,T,X,T,T,T,T,T,X,X,T,T,T,T,T,T,T,X,F,T,T,T,X,X,T,T,X,F,F,T,X,T,T,X,X,X,F,T,X,X,T,T,T,X,X,T,T,T,X,X,T,T,F
mc,efsmt,bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
z3qbf,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
gc4,efsmt,bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
yices2,efsmt,power_bv_interval,True,1,T,T,T,T,T,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,T,T,T,T,T,T,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,T,T,T,T,T,T,T,T,T,U,U,U,U,T,T,T,U,U,U,U,T,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,T,T,U
gc4,efsmt,power_bv_zone,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,T,Err,X,X,X,Err,Err,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err
mc,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err
yices,efsmt,bv_interval,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
g4,efsmt,bv_octagon,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
bitwuzla,efsmt,bv_octagon,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,U,U,T,T,U,U,T,T,U,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U
cd15,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err
lgl,efsmt,power_bv_zone,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,T,Err,X,X,X,Err,Err,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,X,X,Err,Err

SMT Solver,Method,Template,Strengthen,Num Disjunctions,T,F,Err,X,N/A
btor,efsmt,bv_poly,False,1,77,0,8,350,0
yices2,efsmt,power_bv_poly,False,1,54,0,0,0,0
cd15,efsmt,power_bv_octagon,True,1,8,0,58,338,0
z3,efsmt,bv_octagon,False,1,147,0,4,291,0
cvc4,efsmt,power_bv_octagon,False,1,38,0,54,232,0
cd15,efsmt,bv_interval,True,1,27,0,16,347,0
lgl,efsmt,bv_poly,False,1,0,0,6,400,0
mc,efsmt,bv_poly,True,1,8,0,12,386,0
gc4,efsmt,power_bv_interval,True,1,23,0,16,355,0
btor,efsmt,power_bv_octagon,True,1,101,0,447,9,0
mathsat,efsmt,bv_octagon,False,1,0,0,0,0,0
,pdr,,True,1,160,18,0,230,0
caqe,efsmt,bv_octagon,True,1,0,0,407,1,0
g4,efsmt,power_bv_octagon,False,1,1,0,48,357,0
z3qbf,efsmt,power_bv_zone,True,1,0,0,408,0,0
mathsat,efsmt,power_bv_interval,False,1,0,0,0,0,0
msat,efsmt,bv_poly,True,1,0,0,408,0,0
cd15,efsmt,bv_octagon,True,1,16,0,16,370,0
z3,efsmt,power_bv_interval,True,1,212,0,408,0,0
cvc5,efsmt,power_bv_octagon,False,1,19,0,48,0,0
bitwuzla,efsmt,bv_zone,True,1,109,0,0,0,0
cd15,efsmt,power_bv_zone,False,1,19,0,40,335,0
btor,efsmt,bv_interval,True,1,206,0,408,0,0
yices,efsmt,power_bv_poly,True,1,0,0,408,0,0
caqe,efsmt,power_bv_poly,True,1,0,0,408,0,0
caqe,efsmt,power_bv_interval,False,1,2,0,0,405,0
btor,efsmt,bv_octagon,False,1,140,0,4,284,0
q3b,efsmt,bv_interval,False,1,108,0,0,0,0
,eld,,True,1,8,0,400,0,0
cvc5,efsmt,bv_interval,False,1,117,0,0,0,0
bitwuzla,efsmt,power_bv_zone,True,1,75,0,0,0,0
btor,efsmt,power_bv_interval,True,1,208,0,408,0,0
bitwuzla,efsmt,power_bv_poly,False,1,37,0,0,0,0
yices2,efsmt,bv_zone,True,1,220,0,0,0,0
mc,efsmt,bv_zone,False,1,11,0,2,376,0
gc4,efsmt,bv_poly,False,1,0,0,6,400,0
lgl,efsmt,bv_poly,True,1,7,0,12,388,0
btor,efsmt,bv_zone,True,1,190,0,408,0,0
mathsat,efsmt,bv_interval,False,1,0,0,0,0,0
z3qbf,efsmt,power_bv_octagon,True,1,0,0,408,0,0
gc4,efsmt,power_bv_octagon,False,1,0,0,48,358,0
btor,efsmt,bv_interval,False,1,180,0,8,200,0
msat,efsmt,bv_octagon,False,1,60,0,4,226,0
lgl,efsmt,bv_interval,False,1,7,0,2,378,0
g4,efsmt,power_bv_octagon,True,1,6,0,58,340,0
q3b,efsmt,power_bv_poly,True,1,152,0,0,0,0
msat,efsmt,power_bv_zone,True,1,0,0,408,0,0
z3,efsmt,bv_poly,False,1,79,0,8,342,0
yices,efsmt,power_bv_zone,False,1,77,0,8,31,0
btor,efsmt,power_bv_zone,False,1,107,0,8,169,0
caqe,efsmt,power_bv_interval,True,1,0,0,408,0,0
gc4,efsmt,power_bv_poly,True,1,7,0,10,389,0
yices,efsmt,power_bv_octagon,True,1,0,0,398,10,0
q3b,efsmt,power_bv_interval,False,1,109,0,0,0,0
mc,efsmt,power_bv_octagon,True,1,9,0,58,338,0
bitwuzla,efsmt,bv_interval,False,1,75,0,0,0,0
yices,efsmt,bv_zone,True,1,0,0,408,0,0
cvc5,efsmt,bv_interval,True,1,191,0,0,0,0
msat,efsmt,bv_octagon,True,1,0,0,401,7,0
cvc5,efsmt,power_bv_zone,True,1,135,0,0,0,0
lgl,efsmt,bv_octagon,True,1,15,0,16,371,0
cvc4,efsmt,bv_octagon,False,1,60,0,6,254,0
gc4,efsmt,bv_zone,False,1,11,0,2,377,0
q3b,efsmt,bv_interval,True,1,178,0,0,0,0
mc,efsmt,bv_octagon,True,1,16,0,16,369,0
mathsat,efsmt,power_bv_zone,False,1,48,0,0,0,0
msat,efsmt,bv_zone,False,1,76,0,8,115,0
z3,efsmt,power_bv_zone,True,1,190,0,408,0,0
gc4,efsmt,bv_octagon,True,1,14,0,16,372,0
cd15,efsmt,bv_zone,False,1,13,0,2,374,0
cvc5,efsmt,power_bv_interval,True,1,190,0,0,0,0
cd15,efsmt,power_bv_interval,True,1,25,0,16,349,0
lgl,efsmt,bv_zone,True,1,52,0,16,316,0
g4,efsmt,bv_poly,True,1,8,0,11,388,0
z3qbf,efsmt,power_bv_poly,False,1,0,0,0,408,0
z3,efsmt,bv_interval,False,1,192,0,8,204,0
yices,efsmt,power_bv_octagon,False,1,54,0,52,165,0
cvc4,efsmt,bv_interval,True,1,0,0,408,0,0
mathsat,efsmt,power_bv_poly,True,1,0,0,0,0,0
btor,efsmt,power_bv_poly,True,1,138,0,408,0,0
mathsat,efsmt,power_bv_octagon,False,1,0,0,48,0,0
btor,efsmt,bv_poly,True,1,140,0,408,0,0
caqe,efsmt,power_bv_zone,True,1,0,0,408,0,0
gc4,efsmt,power_bv_octagon,True,1,5,0,58,341,0
yices,efsmt,power_bv_zone,True,1,0,0,408,0,0
g4,efsmt,bv_zone,False,1,10,0,2,376,0
btor,efsmt,bv_octagon,True,1,138,0,400,8,0
z3,efsmt,power_bv_interval,False,1,195,0,8,201,0
mathsat,efsmt,bv_zone,False,1,0,0,0,0,0
cvc4,efsmt,power_bv_octagon,True,1,0,0,408,0,0
bitwuzla,efsmt,bv_interval,True,1,92,0,0,0,0
caqe,efsmt,power_bv_zone,False,1,36,0,0,360,0
g4,efsmt,power_bv_poly,True,1,7,0,11,389,0
mathsat,efsmt,bv_interval,True,1,0,0,0,0,0
msat,efsmt,power_bv_interval,False,1,73,0,8,136,0
yices,efsmt,power_bv_interval,True,1,0,0,408,0,0
z3qbf,efsmt,bv_interval,True,1,0,0,408,0,0
g4,efsmt,bv_zone,True,1,48,0,16,321,0
yices,efsmt,bv_octagon,True,1,0,0,399,9,0
z3,efsmt,bv_octagon,True,1,141,0,393,15,0
g4,efsmt,power_bv_zone,True,1,75,0,26,288,0
lgl,efsmt,bv_zone,False,1,12,0,2,374,0
mathsat,efsmt,power_bv_octagon,True,1,0,0,48,0,0
cvc4,efsmt,power_bv_poly,True,1,0,0,408,0,0
msat,efsmt,power_bv_interval,True,1,0,0,408,0,0
cd15,efsmt,power_bv_interval,False,1,6,0,2,381,0
cvc4,efsmt,power_bv_interval,True,1,0,0,408,0,0
yices,efsmt,bv_octagon,False,1,89,0,5,169,0
cd15,efsmt,power_bv_poly,True,1,6,0,11,389,0
btor,efsmt,bv_zone,False,1,143,0,8,183,0
mathsat,efsmt,power_bv_interval,True,1,0,0,0,0,0
mc,efsmt,power_bv_zone,False,1,19,0,40,335,0
yices2,efsmt,bv_interval,True,1,175,0,0,0,0
gc4,efsmt,power_bv_interval,False,1,5,0,2,385,0
caqe,efsmt,power_bv_poly,False,1,0,0,0,408,0
cvc5,efsmt,bv_octagon,False,1,53,0,0,0,0
mathsat,efsmt,power_bv_zone,True,1,48,0,0,0,0
lgl,efsmt,power_bv_poly,False,1,0,0,6,400,0
bitwuzla,efsmt,power_bv_interval,True,1,0,0,0,0,0
bitwuzla,efsmt,bv_zone,False,1,67,0,0,0,0
yices2,efsmt,bv_interval,False,1,97,0,0,0,0
gc4,efsmt,bv_octagon,False,1,2,0,2,395,0
yices2,efsmt,power_bv_octagon,False,1,72,0,48,0,0
cvc5,efsmt,power_bv_poly,True,1,4,0,0,0,0
mc,efsmt,bv_zone,True,1,51,0,16,316,0
mc,efsmt,power_bv_zone,True,1,79,0,26,282,0
mc,efsmt,power_bv_octagon,False,1,1,0,48,356,0
bitwuzla,efsmt,power_bv_poly,True,1,149,0,0,0,0
q3b,efsmt,power_bv_zone,False,1,67,0,0,0,0
lgl,efsmt,bv_interval,True,1,26,0,16,354,0
yices,efsmt,bv_zone,False,1,101,0,8,37,0
q3b,efsmt,bv_zone,True,1,190,0,0,0,0
cvc4,efsmt,power_bv_zone,False,1,48,0,8,133,0
mc,efsmt,power_bv_poly,False,1,0,0,6,400,0
cvc4,efsmt,power_bv_zone,True,1,0,0,408,0,0
z3qbf,efsmt,bv_octagon,False,1,0,0,0,408,0
gc4,efsmt,power_bv_poly,False,1,0,0,6,400,0
q3b,efsmt,bv_zone,False,1,91,0,0,0,0
yices2,efsmt,power_bv_zone,True,1,190,0,0,0,0
mathsat,efsmt,bv_octagon,True,1,0,0,0,0,0
gc4,efsmt,power_bv_zone,True,1,74,0,26,290,0
z3qbf,efsmt,power_bv_octagon,False,1,0,0,48,360,0
mathsat,efsmt,bv_poly,False,1,0,0,0,0,0
cvc4,efsmt,bv_interval,False,1,68,0,8,155,0
lgl,efsmt,power_bv_interval,False,1,8,0,2,379,0
cd15,efsmt,bv_octagon,False,1,3,0,2,393,0
bitwuzla,efsmt,bv_poly,False,1,36,0,0,0,0
yices2,efsmt,bv_poly,False,1,54,0,0,0,0
caqe,efsmt,bv_poly,True,1,0,0,408,0,0
q3b,efsmt,bv_octagon,True,1,116,0,0,0,0
z3,efsmt,bv_poly,True,1,139,0,408,0,0
z3qbf,efsmt,bv_zone,False,1,0,0,0,408,0
mathsat,efsmt,bv_poly,True,1,0,0,0,0,0
msat,efsmt,bv_interval,False,1,73,0,8,139,0
,eld,,False,1,40,4,364,0,0
q3b,efsmt,bv_poly,False,1,46,0,0,0,0
msat,efsmt,bv_interval,True,1,0,0,408,0,0
z3qbf,efsmt,bv_zone,True,1,0,0,408,0,0
g4,efsmt,power_bv_poly,False,1,0,0,6,400,0
caqe,efsmt,bv_octagon,False,1,4,0,0,401,0
yices,efsmt,power_bv_poly,False,1,61,0,8,153,0
msat,efsmt,power_bv_octagon,False,1,37,0,52,214,0
cvc5,efsmt,power_bv_interval,False,1,118,0,0,0,0
caqe,efsmt,bv_zone,False,1,3,0,0,401,0
z3,efsmt,bv_interval,True,1,209,0,408,0,0
btor,efsmt,power_bv_interval,False,1,179,0,8,197,0
cvc5,efsmt,bv_zone,True,1,166,0,0,0,0
q3b,efsmt,bv_octagon,False,1,79,0,0,0,0
q3b,efsmt,power_bv_octagon,False,1,45,0,48,0,0
caqe,efsmt,bv_zone,True,1,0,0,408,0,0
g4,efsmt,bv_octagon,False,1,4,0,2,393,0
yices,efsmt,bv_poly,True,1,0,0,408,0,0
yices,efsmt,bv_poly,False,1,61,0,8,155,0
g4,efsmt,power_bv_zone,False,1,18,0,40,337,0
cd15,efsmt,bv_interval,False,1,7,0,2,377,0
cvc5,efsmt,power_bv_octagon,True,1,34,0,48,0,0
mc,efsmt,power_bv_interval,True,1,24,0,16,354,0
gc4,efsmt,bv_poly,True,1,7,0,11,389,0
caqe,efsmt,power_bv_octagon,True,1,0,0,407,1,0
z3,efsmt,power_bv_poly,True,1,138,0,408,0,0
cvc5,efsmt,power_bv_zone,False,1,45,0,0,0,0
lgl,efsmt,power_bv_interval,True,1,22,0,16,358,0
cvc4,efsmt,power_bv_interval,False,1,67,0,8,153,0
z3qbf,efsmt,bv_octagon,True,1,0,0,408,0,0
msat,efsmt,power_bv_poly,False,1,49,0,8,241,0
lgl,efsmt,power_bv_octagon,False,1,1,0,48,356,0
mathsat,efsmt,power_bv_poly,False,1,0,0,0,0,0
q3b,efsmt,power_bv_poly,False,1,47,0,0,0,0
msat,efsmt,power_bv_octagon,True,1,0,0,402,6,0
z3qbf,efsmt,bv_poly,True,1,0,0,408,0,0
caqe,efsmt,bv_interval,True,1,0,0,408,0,0
yices2,efsmt,bv_octagon,True,1,159,0,0,0,0
msat,efsmt,bv_poly,False,1,49,0,8,240,0
z3qbf,efsmt,power_bv_interval,True,1,0,0,408,0,0
mc,efsmt,power_bv_poly,True,1,8,0,12,386,0
z3,efsmt,bv_zone,False,1,140,0,8,153,0
yices2,efsmt,power_bv_octagon,True,1,127,0,48,0,0
caqe,efsmt,power_bv_octagon,False,1,0,0,48,360,0
z3,efsmt,power_bv_poly,False,1,80,0,8,342,0
cd15,efsmt,power_bv_octagon,False,1,1,0,48,356,0
cvc4,efsmt,bv_zone,True,1,0,0,408,0,0
bitwuzla,efsmt,power_bv_octagon,True,1,56,0,48,0,0
yices2,efsmt,bv_poly,True,1,143,0,0,0,0
btor,efsmt,power_bv_octagon,False,1,90,0,100,266,0
mathsat,efsmt,bv_zone,True,1,0,0,0,0,0
caqe,efsmt,bv_interval,False,1,5,0,0,398,0
btor,efsmt,power_bv_zone,True,1,192,0,408,0,0
btor,efsmt,power_bv_poly,False,1,78,0,8,350,0
cd15,efsmt,bv_zone,True,1,52,0,16,313,0
bitwuzla,efsmt,power_bv_octagon,False,1,22,0,48,0,0
lgl,efsmt,bv_octagon,False,1,2,0,2,394,0
bitwuzla,efsmt,power_bv_zone,False,1,35,0,0,0,0
msat,efsmt,power_bv_poly,True,1,0,0,408,0,0
mc,efsmt,bv_interval,True,1,28,0,16,349,0
yices2,efsmt,power_bv_zone,False,1,67,0,0,0,0
mc,efsmt,bv_octagon,False,1,2,0,2,394,0
g4,efsmt,bv_interval,True,1,26,0,16,353,0
bitwuzla,efsmt,power_bv_interval,False,1,0,0,0,0,0
z3,efsmt,bv_zone,True,1,191,0,408,0,0
q3b,efsmt,power_bv_interval,True,1,175,0,0,0,0
z3,efsmt,power_bv_zone,False,1,107,0,8,131,0
cd15,efsmt,power_bv_zone,True,1,79,0,26,280,0
lgl,efsmt,power_bv_poly,True,1,6,0,12,388,0
yices2,efsmt,power_bv_interval,False,1,99,0,0,0,0
z3,efsmt,power_bv_octagon,False,1,95,0,101,265,0
cd15,efsmt,power_bv_poly,False,1,0,0,6,400,0
q3b,efsmt,power_bv_octagon,True,1,81,0,48,0,0
q3b,efsmt,power_bv_zone,True,1,189,0,0,0,0
z3qbf,efsmt,power_bv_interval,False,1,0,0,0,408,0
z3qbf,efsmt,power_bv_zone,False,1,0,0,0,382,0
g4,efsmt,bv_poly,False,1,0,0,6,400,0
cvc5,efsmt,bv_poly,False,1,0,0,0,0,0
cvc4,efsmt,bv_poly,False,1,46,0,8,325,0
yices2,efsmt,bv_zone,False,1,93,0,0,0,0
z3,efsmt,power_bv_octagon,True,1,99,0,434,22,0
yices,efsmt,power_bv_interval,False,1,96,0,8,83,0
caqe,efsmt,bv_poly,False,1,0,0,0,408,0
mc,efsmt,power_bv_interval,False,1,6,0,2,381,0
z3qbf,efsmt,bv_interval,False,1,0,0,0,408,0
q3b,efsmt,bv_poly,True,1,153,0,0,0,0
yices2,efsmt,bv_octagon,False,1,98,0,0,0,0
z3qbf,efsmt,power_bv_poly,True,1,0,0,408,0,0
lgl,efsmt,power_bv_zone,True,1,74,0,26,289,0
bitwuzla,efsmt,bv_octagon,True,1,87,0,0,0,0
g4,efsmt,bv_interval,False,1,5,0,2,384,0
cvc5,efsmt,bv_octagon,True,1,69,0,0,0,0
g4,efsmt,power_bv_interval,False,1,8,0,2,377,0
cvc5,efsmt,bv_zone,False,1,75,0,0,0,0
cvc4,efsmt,bv_octagon,True,1,0,0,404,4,0
cvc4,efsmt,power_bv_poly,False,1,46,0,8,325,0
cd15,efsmt,bv_poly,True,1,8,0,13,385,0
gc4,efsmt,bv_interval,True,1,30,0,16,348,0
cvc4,efsmt,bv_poly,True,1,0,0,408,0,0
msat,efsmt,bv_zone,True,1,0,0,408,0,0
cvc5,efsmt,bv_poly,True,1,4,0,0,0,0
cvc5,efsmt,power_bv_poly,False,1,0,0,0,0,0
bitwuzla,efsmt,bv_poly,True,1,149,0,0,0,0
yices,efsmt,bv_interval,False,1,106,0,8,78,0
cvc4,efsmt,bv_zone,False,1,62,0,8,150,0
g4,efsmt,power_bv_interval,True,1,21,0,16,358,0
msat,efsmt,power_bv_zone,False,1,61,0,8,100,0
gc4,efsmt,bv_zone,True,1,52,0,16,311,0
yices2,efsmt,power_bv_poly,True,1,144,0,0,0,0
lgl,efsmt,power_bv_octagon,True,1,9,0,58,338,0
,pdr,,False,1,159,18,0,231,0
mc,efsmt,bv_interval,False,1,5,0,2,383,0
z3qbf,efsmt,bv_poly,False,1,0,0,0,408,0
gc4,efsmt,bv_interval,False,1,6,0,2,383,0
yices2,efsmt,power_bv_interval,True,1,183,0,0,0,0
gc4,efsmt,power_bv_zone,False,1,19,0,40,336,0
mc,efsmt,bv_poly,False,1,0,0,6,400,0
yices,efsmt,bv_interval,True,1,0,0,408,0,0
g4,efsmt,bv_octagon,True,1,15,0,16,371,0
bitwuzla,efsmt,bv_octagon,False,1,54,0,0,0,0
cd15,efsmt,bv_poly,False,1,0,0,6,400,0
lgl,efsmt,power_bv_zone,False,1,18,0,40,336,0
